field,phase,distance_lo_A,distance_hi_A,metric,sources,mean,low,high
block2_mlp_input/point_numerator,HCP,0,4,excess_p1,9,,,
block2_mlp_input/point_numerator,HCP,0,4,excess_p2,9,,,
block2_mlp_input/point_numerator,HCP,8,12,p1,8,,,
block2_mlp_input/point_numerator,HCP,8,12,p2,8,,,
block2_mlp_input/point_numerator,HCP,8,12,shuffle_p1,8,,,
block2_mlp_input/point_numerator,HCP,8,12,shuffle_p2,8,,,
block2_mlp_input/point_numerator,HCP,8,12,excess_p1,8,,,
block2_mlp_input/point_numerator,HCP,8,12,excess_p2,8,,,
block2_mlp_input/point_numerator,HCP,18,26,p1,9,,,
block2_mlp_input/point_numerator,HCP,18,26,p2,9,,,
block2_mlp_input/point_numerator,HCP,18,26,shuffle_p1,9,,,
block2_mlp_input/point_numerator,HCP,18,26,shuffle_p2,9,,,
block2_mlp_input/point_numerator,HCP,18,26,excess_p1,9,,,
block2_mlp_input/point_numerator,HCP,18,26,excess_p2,9,,,
block2_mlp_input/point_numerator,HCP,26,40,p1,9,,,
block2_mlp_input/point_numerator,HCP,26,40,p2,9,,,
block2_mlp_input/point_numerator,HCP,26,40,shuffle_p1,9,,,
block2_mlp_input/point_numerator,HCP,26,40,shuffle_p2,9,,,
block2_mlp_input/point_numerator,HCP,26,40,excess_p1,9,,,
block2_mlp_input/point_numerator,HCP,26,40,excess_p2,9,,,
block1/point_numerator,HCP,12,18,p1,7,,,
block1/point_numerator,HCP,12,18,p2,7,,,
block1/point_numerator,HCP,12,18,shuffle_p1,7,,,
block1/point_numerator,HCP,12,18,shuffle_p2,7,,,
block1/point_numerator,HCP,12,18,excess_p1,7,,,
block1/point_numerator,HCP,12,18,excess_p2,7,,,
block2_mlp_input/point_numerator,HCP,12,18,p1,7,,,
block2_mlp_input/point_numerator,HCP,12,18,p2,7,,,
block2_mlp_input/point_numerator,HCP,12,18,shuffle_p1,7,,,
block2_mlp_input/point_numerator,HCP,12,18,shuffle_p2,7,,,
block2_mlp_input/point_numerator,HCP,12,18,excess_p1,7,,,
block2_mlp_input/point_numerator,HCP,12,18,excess_p2,7,,,
