variant,readout,population,method,metric,seeds,value,ci95_low,ci95_high,sources
repeated_anchor,linear,all,encoder,temporal/0.75ps/normalized_rms_jump,1,0.8128546818292772,0.721367111045776,0.8998631825126036,30
repeated_anchor,linear,all,persistence,future/0.75ps/block_mean,1,0.6543012056603199,0.5734462085793106,0.7370788937452663,30
repeated_anchor,linear,all,persistence,future/3ps/block_mean,1,0.6919941502209339,0.6259887701955935,0.7587430042225042,30
repeated_anchor,linear,all,persistence,future/9ps/block_mean,1,0.7277039315344559,0.6438260770961641,0.816271341717026,30
repeated_anchor,linear,low_order,encoder,future/0.75ps/block_mean,1,0.45890004746615887,0.39344853065889696,0.528672582489968,17
repeated_anchor,linear,low_order,encoder,future/3ps/block_mean,1,0.4425845719581725,0.38847678728292095,0.4984806359416858,17
repeated_anchor,linear,low_order,encoder,future/9ps/block_mean,1,0.408090447523065,0.34041176826200065,0.47549582432188536,17
repeated_anchor,linear,low_order,encoder,present/block_mean,1,0.3646803541364623,0.3095430068269956,0.42300650729779515,17
repeated_anchor,linear,low_order,encoder,temporal/0.75ps/normalized_rms_jump,1,0.9972972466387173,0.9394658173072452,1.0608072305485787,16
repeated_anchor,linear,low_order,persistence,future/0.75ps/block_mean,1,0.7150071780471241,0.5997723074374246,0.8385282667737235,17
repeated_anchor,linear,low_order,persistence,future/3ps/block_mean,1,0.6833470999902369,0.5734261008271692,0.7939992667394962,17
repeated_anchor,linear,low_order,persistence,future/9ps/block_mean,1,0.7209020371494049,0.5945366317397167,0.8524662413291962,17
repeated_anchor,nonlinear,all,encoder,future/0.75ps/block_mean,1,0.4123816972184512,0.3712033173928244,0.45498428251283857,30
repeated_anchor,nonlinear,all,encoder,future/3ps/block_mean,1,0.4434448048472404,0.40148031342050267,0.49075490367340124,30
repeated_anchor,nonlinear,all,encoder,future/9ps/block_mean,1,0.4384554079837269,0.39474790895512946,0.4871623096625424,30
repeated_anchor,nonlinear,all,encoder,present/block_mean,1,0.3505661094457739,0.3137417574265661,0.39012171991376415,30
repeated_anchor,nonlinear,all,encoder,temporal/0.75ps/normalized_rms_jump,1,0.8128546818292772,0.7294865850713901,0.9033253084507532,30
repeated_anchor,nonlinear,all,persistence,future/0.75ps/block_mean,1,0.6543012056603199,0.5787143878198953,0.7398286352945594,30
repeated_anchor,nonlinear,all,persistence,future/3ps/block_mean,1,0.6919941502209339,0.6252977742487565,0.7637558138282557,30
repeated_anchor,nonlinear,all,persistence,future/9ps/block_mean,1,0.7277039315344559,0.6441147636422991,0.8196097858115615,30
repeated_anchor,nonlinear,low_order,encoder,future/0.75ps/block_mean,1,0.4554266643290426,0.3786431867410155,0.5357349480593612,17
repeated_anchor,nonlinear,low_order,encoder,future/3ps/block_mean,1,0.4378171761830648,0.3811711230698754,0.50027444678377,17
repeated_anchor,nonlinear,low_order,encoder,future/9ps/block_mean,1,0.3963001914249331,0.33628436393177535,0.4627150717657058,17
repeated_anchor,nonlinear,low_order,encoder,present/block_mean,1,0.3679672412062977,0.31250191198515836,0.4278028377961805,17
repeated_anchor,nonlinear,low_order,encoder,temporal/0.75ps/normalized_rms_jump,1,0.9972972466387173,0.9379998093998383,1.0604771313303891,16
repeated_anchor,nonlinear,low_order,persistence,future/0.75ps/block_mean,1,0.7150071780471241,0.5983238948636926,0.8431245145333164,17
repeated_anchor,nonlinear,low_order,persistence,future/3ps/block_mean,1,0.6833470999902369,0.5740615664013461,0.7946894981295745,17
repeated_anchor,nonlinear,low_order,persistence,future/9ps/block_mean,1,0.7209020371494049,0.5972578655421624,0.840871382884535,17
